voyage_id,route_name,vessel_class,vessel_category,fuel_type,speed_knots,distance_nm,cargo_load_factor,displacement_ton,wind_speed_knots,wind_direction_deg,wave_height_m,days_since_drydock,transit_time_hours,port_dwell_time_hours,propulsion_power_kw,engine_load_ratio,added_resistance_pct,is_overloaded,use_shore_power,port_power_source,grid_electricity_kwh,me_fuel_consumed_kg,aux_fuel_transit_kg,port_fuel_consumed_kg,total_fuel_consumed_kg,observed_fuel_consumed_kg,fuel_cost_usd,total_energy_cost_usd,carbon_tax_usd_per_ton,carbon_tax_usd,total_voyage_cost_usd,ttw_co2_emissions_kg,wtw_co2e_emissions_kg,cii_rating_g_co2_dwt_nm
VOY-00001,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,10.28,6625.8,0.631,32473.2,12.0,25.7,0.86,145,644.28,13.0,2409.3,0.335,6.64,False,False,Auxiliary_Engine,0.0,310844.8,88364.5,1534.2,400743.6,400966.2,240446.16,240446.16,120.0,175427.02,415873.18,1247915.6,1461891.8,4.956
VOY-00002,Singapore - Rotterdam,Container_Panamax,Container,Ammonia,14.8,8229.7,0.845,79436.9,9.9,92.6,0.77,661,556.14,20.2,11616.1,0.277,12.51,False,True,Shore_Power_AMP,50994.1,2743499.4,769520.3,0.0,3513019.6,3522761.4,3337368.65,3346897.59,120.0,52912.81,3399810.4,0.0,440940.1,0.0
VOY-00003,Shanghai - Rotterdam (Suez),Container_Feeder,Container,LNG,18.89,9847.5,0.781,38056.3,6.7,6.2,0.58,220,521.24,30.8,14865.9,0.826,5.22,False,True,Shore_Power_AMP,43727.1,1111380.8,149760.6,0.0,1261141.5,1267726.7,1008913.17,1017134.04,120.0,486272.28,1503406.32,3468139.0,4052269.0,10.358
VOY-00004,Custom_Charter_Route,Container_Panamax,Container,Ammonia,13.4,8560.2,0.942,86048.1,3.2,107.6,0.5,352,638.67,37.9,8601.3,0.205,6.3,False,False,Auxiliary_Engine,0.0,2453905.2,915512.9,41597.9,3411016.0,3276000.0,3240465.2,3240465.2,0.0,0.0,3240465.2,0.0,404330.2,0.0
VOY-00005,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,9.99,958.9,0.972,45426.1,8.4,146.8,1.08,607,96.02,46.1,2921.7,0.406,12.91,False,False,Auxiliary_Engine,0.0,54286.9,14973.1,5450.8,74710.9,74324.0,44826.53,44826.53,80.0,21581.85,66408.38,232649.7,269773.1,6.385
VOY-00006,Dubai (Jebel Ali) - Mumbai (Nhava Sheva),Container_Feeder,Container,Methanol,19.35,1000.7,0.584,31342.9,8.7,119.9,0.5,561,51.72,34.7,14595.1,0.811,9.42,False,True,Shore_Power_AMP,49262.7,267546.6,33987.2,0.0,301533.8,306342.9,316610.44,325827.72,250.0,38602.5,364430.22,414608.9,154410.0,12.185
VOY-00007,Hamburg - New York (Transatlantic),Container_ULCV,Container,HFO,21.38,3507.5,0.375,118217.3,8.8,36.3,1.01,255,164.04,27.1,41115.9,0.587,8.25,False,False,Auxiliary_Engine,0.0,1129893.3,148050.2,23465.9,1301409.4,1311093.5,780845.65,780845.65,250.0,1184391.67,1965237.32,4052588.9,4737566.7,5.925
VOY-00008,Hamburg - New York (Transatlantic),Container_ULCV,Container,Hydrogen,14.97,3527.2,0.452,133056.0,6.7,145.5,1.01,42,235.55,22.5,14689.6,0.21,4.07,False,True,Shore_Power_AMP,97632.8,232730.2,74195.4,0.0,306925.6,309448.2,1289087.49,1307011.4,250.0,13111.69,1320123.09,0.0,52446.8,0.0
VOY-00009,Shenzhen - Los Angeles (Transpacific),Container_ULCV,Container,LNG,13.59,6923.1,0.521,146681.4,5.3,96.1,0.5,332,509.53,22.7,11936.8,0.171,6.08,False,True,Shore_Power_AMP,98397.2,1031484.4,403302.9,0.0,1434787.3,1410895.9,1147829.86,1165891.36,120.0,555445.25,1721336.6,3945665.1,4628710.4,2.923
VOY-00010,Singapore - Rotterdam,Container_Feeder,Container,HFO,10.71,7952.3,0.789,38314.8,9.4,26.7,0.91,239,742.25,42.4,2785.5,0.155,7.62,False,False,Auxiliary_Engine,0.0,459780.3,259818.4,12034.3,731632.9,737941.4,438979.77,438979.77,180.0,479521.78,918501.55,2278305.0,2664009.9,8.426
